study_accession	study_title	study_type	design_description	library_selection	library_layout	library_construction_protocol	instrument_model	platform_parameters	sample	run	updated_date	class/strategy	Plant Age	Plant Material	Development stage of tissue(if given)	line/Cultivar	genetic information/line	Mutant/WT	Treatment	Experiment keywords	Otherinfo about sample	Abstract	Submission center	Lab/PI	Submission date
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2500	INSTRUMENT_MODEL: IllumiNA HiSeq 2500	SRS1154157	SRR2908042	3/2/16	RNA-Seq	reproductive	embryo 21DAP	NA	B73	inbred	WT	NA	metabolism regulation	NA	"RNA-seq of maize embryo at DAP12, 21 and 30, to explore the metabolism regulation of maize."	CAAS	NA	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1235135	SRR3085203	3/8/16	RNA-Seq	4D	shoot	V1	B73	inbred	WT	far red 6H	abiotic stress shade avoidance	NA	The shade avoidance response (largely mediated by iNActivation of phyB) and deetiolation under FRc (mainly mediated by activation of phyA) in Zea mays was transcriptioNAlly profiled by RNA-Seq.	"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences"	Haiyang Wang's lab	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1235135	SRR3085202	3/8/16	RNA-Seq	4D	shoot	V1	B73	inbred	WT	far red 6H	abiotic stress shade avoidance	NA	The shade avoidance response (largely mediated by iNActivation of phyB) and deetiolation under FRc (mainly mediated by activation of phyA) in Zea mays was transcriptioNAlly profiled by RNA-Seq.	"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences"	Haiyang Wang's lab	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	cDNA	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2500	INSTRUMENT_MODEL: IllumiNA HiSeq 2500	SRS1152780	SRR2907733	3/2/16	RNA-Seq	reproductive	embryo 12DAP	NA	Qi319	inbred	WT	NA	metabolism regulation	NA	"RNA-seq of maize embryo at DAP12, 21 and 30, to explore the metabolism regulation of maize."	CAAS	NA	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 30; NOMINAL_LENGTH: 300; 	"Roots were collected from 14 days old seedling; Ears were collected from v8 stage, and tassels collected from v7 stage, pollen collected from r1 stage, embryo and endosperm were collected from seeds of 20 days after polliNAtion. Tissues were immediately frozen in liquid N. For each tissue, at least 10 plants were pooled and about ~30 ears and tassels were pooled for each of 3 biological replicates. Maize B73 inbred lines were grown at CSHL Uplands Farm.  Total RNA was prepared by grinding tissue in TRIzol reagent (Invitrogen 15596026) on dry ice and processed following the protocol provided by manufacturer. To remove DNA, an aliquot of total RNA was treated with RQ1 DNAse (Promega M6101), followed by phenol/chloroform/iso-amyl alcohol extraction, chloroform/iso-amyl alcohol extraction using Phase Lock Gel Light tubes (5 PRIME 2302800) and ethanol precipitation. RNA precipitate was stored in -20oC freezer. Total RNA (20 ??_???_g) was used for poly(A)+ selection using oligo(dT) magnetic beads (Invitrogen 610-02), eluted in water and used for RNA-seq library construction with ScriptSeqTM kit (Epicentre SS10906) or mRNA-seq Sample Prep kit (IllumiNA RS-100-0801) according to the manufacturer??????_?????_?s protocol. Libraries were amplified with 12-15 cycles of PCR, and then sequenced in two lanes on Hiseq2000 PE100 platform in woodbury Genome Center in Cold Spring Harbor Laboratory."	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	ERS814547	ERR986085	6/29/16	RNA-Seq	reproductive	embryo	NA	B73	inbred	WT	NA	transcript isoforms	NA	"Zea mays is a leading model for elucidating transcriptioNAl networks in plants, aided by increasingly refined studies of the transcriptome atlas across spatio-temporal, developmental, and environmental dimensions. Limiting this progress are uncertainties about the complete structure mRNA transcripts, particularly with respect to alterNAtively spliced isoforms. Although second-generation RNA-seq provides a quantitative assay for transcriptioNAl and posttranscriptioNAl events, the accurate reconstruction of full-length mRNA isoforms is challenging with short-read technologies. By producing much longer reads, third generation sequencing offers to solve the assembly problem, but can suffer from lower read accuracy and throughput. Here, we combine these complementary technologies to define and quantify high-confidence transcript isoforms in maize. Six tissues (root, pollen, embryo, endosperm, immature ear, and immature tassel) of the B73 inbred line were used for mRNA sequencing with the IllumiNA Hiseq2000 PE101 platform to comprehensively quantitate gene/isoform expression. In parallel, intact cDNAs from the same samples were sequenced using the PacBio RS II platform. The latter used four size fractioNAted libraries (1-2kb, 2-3kb, 3kb-5kb, 5kb-10kb) to generate more than 2 million full length reads. PrelimiNAry findings suggest that mechanisms of alterNAtive splicing are differentially employed between different tissues. In addition, these data show promise to dramatically improve the status of maize genome annotation, with the detection of previously unidentified transcript isoforms, and uncovering previously unrecognized genes. This submission is data of IllumiNA Hiseq2000 PE101 reads."	NA	European Nucleotide Archive	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 30; NOMINAL_LENGTH: 300; 	"Roots were collected from 14 days old seedling; Ears were collected from v8 stage, and tassels collected from v7 stage, pollen collected from r1 stage, embryo and endosperm were collected from seeds of 20 days after polliNAtion. Tissues were immediately frozen in liquid N. For each tissue, at least 10 plants were pooled and about ~30 ears and tassels were pooled for each of 3 biological replicates. Maize B73 inbred lines were grown at CSHL Uplands Farm.  Total RNA was prepared by grinding tissue in TRIzol reagent (Invitrogen 15596026) on dry ice and processed following the protocol provided by manufacturer. To remove DNA, an aliquot of total RNA was treated with RQ1 DNAse (Promega M6101), followed by phenol/chloroform/iso-amyl alcohol extraction, chloroform/iso-amyl alcohol extraction using Phase Lock Gel Light tubes (5 PRIME 2302800) and ethanol precipitation. RNA precipitate was stored in -20oC freezer. Total RNA (20 ??_???_g) was used for poly(A)+ selection using oligo(dT) magnetic beads (Invitrogen 610-02), eluted in water and used for RNA-seq library construction with ScriptSeqTM kit (Epicentre SS10906) or mRNA-seq Sample Prep kit (IllumiNA RS-100-0801) according to the manufacturer??????_?????_?s protocol. Libraries were amplified with 12-15 cycles of PCR, and then sequenced in two lanes on Hiseq2000 PE100 platform in woodbury Genome Center in Cold Spring Harbor Laboratory."	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	ERS814553	ERR986097	6/29/16	RNA-Seq	reproductive	embryo	NA	B73	inbred	WT	NA	transcript isoforms	NA	"Zea mays is a leading model for elucidating transcriptioNAl networks in plants, aided by increasingly refined studies of the transcriptome atlas across spatio-temporal, developmental, and environmental dimensions. Limiting this progress are uncertainties about the complete structure mRNA transcripts, particularly with respect to alterNAtively spliced isoforms. Although second-generation RNA-seq provides a quantitative assay for transcriptioNAl and posttranscriptioNAl events, the accurate reconstruction of full-length mRNA isoforms is challenging with short-read technologies. By producing much longer reads, third generation sequencing offers to solve the assembly problem, but can suffer from lower read accuracy and throughput. Here, we combine these complementary technologies to define and quantify high-confidence transcript isoforms in maize. Six tissues (root, pollen, embryo, endosperm, immature ear, and immature tassel) of the B73 inbred line were used for mRNA sequencing with the IllumiNA Hiseq2000 PE101 platform to comprehensively quantitate gene/isoform expression. In parallel, intact cDNAs from the same samples were sequenced using the PacBio RS II platform. The latter used four size fractioNAted libraries (1-2kb, 2-3kb, 3kb-5kb, 5kb-10kb) to generate more than 2 million full length reads. PrelimiNAry findings suggest that mechanisms of alterNAtive splicing are differentially employed between different tissues. In addition, these data show promise to dramatically improve the status of maize genome annotation, with the detection of previously unidentified transcript isoforms, and uncovering previously unrecognized genes. This submission is data of IllumiNA Hiseq2000 PE101 reads."	NA	European Nucleotide Archive	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 30; NOMINAL_LENGTH: 300; 	"Roots were collected from 14 days old seedling; Ears were collected from v8 stage, and tassels collected from v7 stage, pollen collected from r1 stage, embryo and endosperm were collected from seeds of 20 days after polliNAtion. Tissues were immediately frozen in liquid N. For each tissue, at least 10 plants were pooled and about ~30 ears and tassels were pooled for each of 3 biological replicates. Maize B73 inbred lines were grown at CSHL Uplands Farm.  Total RNA was prepared by grinding tissue in TRIzol reagent (Invitrogen 15596026) on dry ice and processed following the protocol provided by manufacturer. To remove DNA, an aliquot of total RNA was treated with RQ1 DNAse (Promega M6101), followed by phenol/chloroform/iso-amyl alcohol extraction, chloroform/iso-amyl alcohol extraction using Phase Lock Gel Light tubes (5 PRIME 2302800) and ethanol precipitation. RNA precipitate was stored in -20oC freezer. Total RNA (20 ??_???_g) was used for poly(A)+ selection using oligo(dT) magnetic beads (Invitrogen 610-02), eluted in water and used for RNA-seq library construction with ScriptSeqTM kit (Epicentre SS10906) or mRNA-seq Sample Prep kit (IllumiNA RS-100-0801) according to the manufacturer??????_?????_?s protocol. Libraries were amplified with 12-15 cycles of PCR, and then sequenced in two lanes on Hiseq2000 PE100 platform in woodbury Genome Center in Cold Spring Harbor Laboratory."	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	ERS814560	ERR986111	6/29/16	RNA-Seq	reproductive	endosperm	NA	B73	inbred	WT	NA	transcript isoforms	NA	"Zea mays is a leading model for elucidating transcriptioNAl networks in plants, aided by increasingly refined studies of the transcriptome atlas across spatio-temporal, developmental, and environmental dimensions. Limiting this progress are uncertainties about the complete structure mRNA transcripts, particularly with respect to alterNAtively spliced isoforms. Although second-generation RNA-seq provides a quantitative assay for transcriptioNAl and posttranscriptioNAl events, the accurate reconstruction of full-length mRNA isoforms is challenging with short-read technologies. By producing much longer reads, third generation sequencing offers to solve the assembly problem, but can suffer from lower read accuracy and throughput. Here, we combine these complementary technologies to define and quantify high-confidence transcript isoforms in maize. Six tissues (root, pollen, embryo, endosperm, immature ear, and immature tassel) of the B73 inbred line were used for mRNA sequencing with the IllumiNA Hiseq2000 PE101 platform to comprehensively quantitate gene/isoform expression. In parallel, intact cDNAs from the same samples were sequenced using the PacBio RS II platform. The latter used four size fractioNAted libraries (1-2kb, 2-3kb, 3kb-5kb, 5kb-10kb) to generate more than 2 million full length reads. PrelimiNAry findings suggest that mechanisms of alterNAtive splicing are differentially employed between different tissues. In addition, these data show promise to dramatically improve the status of maize genome annotation, with the detection of previously unidentified transcript isoforms, and uncovering previously unrecognized genes. This submission is data of IllumiNA Hiseq2000 PE101 reads."	NA	European Nucleotide Archive	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 30; NOMINAL_LENGTH: 300; 	"Roots were collected from 14 days old seedling; Ears were collected from v8 stage, and tassels collected from v7 stage, pollen collected from r1 stage, embryo and endosperm were collected from seeds of 20 days after polliNAtion. Tissues were immediately frozen in liquid N. For each tissue, at least 10 plants were pooled and about ~30 ears and tassels were pooled for each of 3 biological replicates. Maize B73 inbred lines were grown at CSHL Uplands Farm.  Total RNA was prepared by grinding tissue in TRIzol reagent (Invitrogen 15596026) on dry ice and processed following the protocol provided by manufacturer. To remove DNA, an aliquot of total RNA was treated with RQ1 DNAse (Promega M6101), followed by phenol/chloroform/iso-amyl alcohol extraction, chloroform/iso-amyl alcohol extraction using Phase Lock Gel Light tubes (5 PRIME 2302800) and ethanol precipitation. RNA precipitate was stored in -20oC freezer. Total RNA (20 ??_???_g) was used for poly(A)+ selection using oligo(dT) magnetic beads (Invitrogen 610-02), eluted in water and used for RNA-seq library construction with ScriptSeqTM kit (Epicentre SS10906) or mRNA-seq Sample Prep kit (IllumiNA RS-100-0801) according to the manufacturer??????_?????_?s protocol. Libraries were amplified with 12-15 cycles of PCR, and then sequenced in two lanes on Hiseq2000 PE100 platform in woodbury Genome Center in Cold Spring Harbor Laboratory."	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	ERS814553	ERR986098	6/29/16	RNA-Seq	reproductive	embryo	NA	B73	inbred	WT	NA	transcript isoforms	NA	"Zea mays is a leading model for elucidating transcriptioNAl networks in plants, aided by increasingly refined studies of the transcriptome atlas across spatio-temporal, developmental, and environmental dimensions. Limiting this progress are uncertainties about the complete structure mRNA transcripts, particularly with respect to alterNAtively spliced isoforms. Although second-generation RNA-seq provides a quantitative assay for transcriptioNAl and posttranscriptioNAl events, the accurate reconstruction of full-length mRNA isoforms is challenging with short-read technologies. By producing much longer reads, third generation sequencing offers to solve the assembly problem, but can suffer from lower read accuracy and throughput. Here, we combine these complementary technologies to define and quantify high-confidence transcript isoforms in maize. Six tissues (root, pollen, embryo, endosperm, immature ear, and immature tassel) of the B73 inbred line were used for mRNA sequencing with the IllumiNA Hiseq2000 PE101 platform to comprehensively quantitate gene/isoform expression. In parallel, intact cDNAs from the same samples were sequenced using the PacBio RS II platform. The latter used four size fractioNAted libraries (1-2kb, 2-3kb, 3kb-5kb, 5kb-10kb) to generate more than 2 million full length reads. PrelimiNAry findings suggest that mechanisms of alterNAtive splicing are differentially employed between different tissues. In addition, these data show promise to dramatically improve the status of maize genome annotation, with the detection of previously unidentified transcript isoforms, and uncovering previously unrecognized genes. This submission is data of IllumiNA Hiseq2000 PE101 reads."	NA	European Nucleotide Archive	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1235128	SRR3084857	3/8/16	RNA-Seq	4D	shoot	V1	B73	inbred	WT	shade 3H	abiotic stress shade avoidance	NA	The shade avoidance response (largely mediated by iNActivation of phyB) and deetiolation under FRc (mainly mediated by activation of phyA) in Zea mays was transcriptioNAlly profiled by RNA-Seq.	"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences"	Haiyang Wang's lab	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 30; NOMINAL_LENGTH: 300; 	"Roots were collected from 14 days old seedling; Ears were collected from v8 stage, and tassels collected from v7 stage, pollen collected from r1 stage, embryo and endosperm were collected from seeds of 20 days after polliNAtion. Tissues were immediately frozen in liquid N. For each tissue, at least 10 plants were pooled and about ~30 ears and tassels were pooled for each of 3 biological replicates. Maize B73 inbred lines were grown at CSHL Uplands Farm.  Total RNA was prepared by grinding tissue in TRIzol reagent (Invitrogen 15596026) on dry ice and processed following the protocol provided by manufacturer. To remove DNA, an aliquot of total RNA was treated with RQ1 DNAse (Promega M6101), followed by phenol/chloroform/iso-amyl alcohol extraction, chloroform/iso-amyl alcohol extraction using Phase Lock Gel Light tubes (5 PRIME 2302800) and ethanol precipitation. RNA precipitate was stored in -20oC freezer. Total RNA (20 ??_???_g) was used for poly(A)+ selection using oligo(dT) magnetic beads (Invitrogen 610-02), eluted in water and used for RNA-seq library construction with ScriptSeqTM kit (Epicentre SS10906) or mRNA-seq Sample Prep kit (IllumiNA RS-100-0801) according to the manufacturer??????_?????_?s protocol. Libraries were amplified with 12-15 cycles of PCR, and then sequenced in two lanes on Hiseq2000 PE100 platform in woodbury Genome Center in Cold Spring Harbor Laboratory."	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	ERS814558	ERR986107	6/29/16	RNA-Seq	reproductive	ear	NA	B73	inbred	WT	NA	transcript isoforms	NA	"Zea mays is a leading model for elucidating transcriptioNAl networks in plants, aided by increasingly refined studies of the transcriptome atlas across spatio-temporal, developmental, and environmental dimensions. Limiting this progress are uncertainties about the complete structure mRNA transcripts, particularly with respect to alterNAtively spliced isoforms. Although second-generation RNA-seq provides a quantitative assay for transcriptioNAl and posttranscriptioNAl events, the accurate reconstruction of full-length mRNA isoforms is challenging with short-read technologies. By producing much longer reads, third generation sequencing offers to solve the assembly problem, but can suffer from lower read accuracy and throughput. Here, we combine these complementary technologies to define and quantify high-confidence transcript isoforms in maize. Six tissues (root, pollen, embryo, endosperm, immature ear, and immature tassel) of the B73 inbred line were used for mRNA sequencing with the IllumiNA Hiseq2000 PE101 platform to comprehensively quantitate gene/isoform expression. In parallel, intact cDNAs from the same samples were sequenced using the PacBio RS II platform. The latter used four size fractioNAted libraries (1-2kb, 2-3kb, 3kb-5kb, 5kb-10kb) to generate more than 2 million full length reads. PrelimiNAry findings suggest that mechanisms of alterNAtive splicing are differentially employed between different tissues. In addition, these data show promise to dramatically improve the status of maize genome annotation, with the detection of previously unidentified transcript isoforms, and uncovering previously unrecognized genes. This submission is data of IllumiNA Hiseq2000 PE101 reads."	NA	European Nucleotide Archive	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	PolyA	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1172426	SRR2944557	11/18/16	RNA-Seq	reproductive	immature ear	spikelet differentiation stage	Zhongdan808	hybrid	hybrid	NA	ear development heterosis	NA	transcriptome aNAlysis of heterosis during maize ear development	"institute of crop science, chinese academy of agricultural sciences"	NA	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1235134	SRR3085219	3/8/16	RNA-Seq	4D	shoot	V1	B73	inbred	WT	far red 3H	abiotic stress shade avoidance	NA	The shade avoidance response (largely mediated by iNActivation of phyB) and deetiolation under FRc (mainly mediated by activation of phyA) in Zea mays was transcriptioNAlly profiled by RNA-Seq.	"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences"	Haiyang Wang's lab	NA
SRP062027	Genome-wide aNAlysis of alterNAtive splicing during development and drought in Zea mays	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1235127	SRR3084843	3/8/16	RNA-Seq	4D	shoot	V1	B73	inbred	WT	shade 1H	abiotic stress shade avoidance	NA	The shade avoidance response (largely mediated by iNActivation of phyB) and deetiolation under FRc (mainly mediated by activation of phyA) in Zea mays was transcriptioNAlly profiled by RNA-Seq.	"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences"	Haiyang Wang's lab	NA
SRP060265	Genome-wide characterization of maize small RNA loci and their regulation in the required to maintain repression6-1 (rmr6-1) mutant and long-term abiotic stresses	Transcriptome ANAlysis	NA	unspecified	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS720560	SRR1758079	1/14/16	RNA-Seq	vegetative	third leaf	NA	Oh43	inbred	WT	NA	differential methylation	NA	"DNA methylation is a stable modification of chromatin that can contribute to epigenetic variation through the regulation of genes or transposons. The genome-wide context-specific differential DNA methylation patterns and their influence on gene expression have rarely been investigated in crop species. Profiling of DNA methylation in five maize (Zea mays) inbred lines found that while DNA methylation levels for >99% of the aNAlyzed genomic regions are similar there are still 5,000 to 20,000 context-specific differentially methylated regions (DMRs) between any two genotypes. The aNAlysis of identical-by-state genomic regions that have limited genetic variation provided evidence that DMRs can occur without local sequence variation but they are 50% less common than in regions with genetic variation. Characterization of the sequence-specificity of DMRs, location of DMRs relative to genes and transposons and patterns of DNA methylation in regions flanking DMRs reveals distinct subset of DMRs. RNAseq profiling of the same tissue revealed that only ~20% of genes with qualitative (on-off) differences in gene expression are associated with DMRs and there is little evidence for association of DMRs with genes that show quantitative differences in gene expression. We also identify a set of genes that may represent cryptic information that is silenced by DNA methylation in the reference B73 genome. Many of these genes exhibit NAtural variation in other genotypes suggesting the potential for selection to act upon existing epigenetic NAtural variation. This study provides insights into the origin and influences of DMRs in a crop species with a complex genome organization."	University of Minnesota	Springer Lab	NA
SRP060265	Genome-wide characterization of maize small RNA loci and their regulation in the required to maintain repression6-1 (rmr6-1) mutant and long-term abiotic stresses	Transcriptome ANAlysis	NA	unspecified	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS720559	SRR1758067	1/14/16	RNA-Seq	vegetative	third leaf	NA	CML322	inbred	WT	NA	differential methylation	NA	"DNA methylation is a stable modification of chromatin that can contribute to epigenetic variation through the regulation of genes or transposons. The genome-wide context-specific differential DNA methylation patterns and their influence on gene expression have rarely been investigated in crop species. Profiling of DNA methylation in five maize (Zea mays) inbred lines found that while DNA methylation levels for >99% of the aNAlyzed genomic regions are similar there are still 5,000 to 20,000 context-specific differentially methylated regions (DMRs) between any two genotypes. The aNAlysis of identical-by-state genomic regions that have limited genetic variation provided evidence that DMRs can occur without local sequence variation but they are 50% less common than in regions with genetic variation. Characterization of the sequence-specificity of DMRs, location of DMRs relative to genes and transposons and patterns of DNA methylation in regions flanking DMRs reveals distinct subset of DMRs. RNAseq profiling of the same tissue revealed that only ~20% of genes with qualitative (on-off) differences in gene expression are associated with DMRs and there is little evidence for association of DMRs with genes that show quantitative differences in gene expression. We also identify a set of genes that may represent cryptic information that is silenced by DNA methylation in the reference B73 genome. Many of these genes exhibit NAtural variation in other genotypes suggesting the potential for selection to act upon existing epigenetic NAtural variation. This study provides insights into the origin and influences of DMRs in a crop species with a complex genome organization."	University of Minnesota	Springer Lab	NA
SRP060265	Genome-wide characterization of maize small RNA loci and their regulation in the required to maintain repression6-1 (rmr6-1) mutant and long-term abiotic stresses	Transcriptome ANAlysis	NA	unspecified	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS720562	SRR1758014	1/14/16	RNA-Seq	vegetative	third leaf	NA	Mo17	inbred	WT	NA	differential methylation	NA	"DNA methylation is a stable modification of chromatin that can contribute to epigenetic variation through the regulation of genes or transposons. The genome-wide context-specific differential DNA methylation patterns and their influence on gene expression have rarely been investigated in crop species. Profiling of DNA methylation in five maize (Zea mays) inbred lines found that while DNA methylation levels for >99% of the aNAlyzed genomic regions are similar there are still 5,000 to 20,000 context-specific differentially methylated regions (DMRs) between any two genotypes. The aNAlysis of identical-by-state genomic regions that have limited genetic variation provided evidence that DMRs can occur without local sequence variation but they are 50% less common than in regions with genetic variation. Characterization of the sequence-specificity of DMRs, location of DMRs relative to genes and transposons and patterns of DNA methylation in regions flanking DMRs reveals distinct subset of DMRs. RNAseq profiling of the same tissue revealed that only ~20% of genes with qualitative (on-off) differences in gene expression are associated with DMRs and there is little evidence for association of DMRs with genes that show quantitative differences in gene expression. We also identify a set of genes that may represent cryptic information that is silenced by DNA methylation in the reference B73 genome. Many of these genes exhibit NAtural variation in other genotypes suggesting the potential for selection to act upon existing epigenetic NAtural variation. This study provides insights into the origin and influences of DMRs in a crop species with a complex genome organization."	University of Minnesota	Springer Lab	NA
SRP060265	Genome-wide characterization of maize small RNA loci and their regulation in the required to maintain repression6-1 (rmr6-1) mutant and long-term abiotic stresses	Transcriptome ANAlysis	NA	unspecified	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS720561	SRR1758152	1/14/16	RNA-Seq	vegetative	third leaf	NA	Tx303	inbred	WT	NA	differential methylation	NA	"DNA methylation is a stable modification of chromatin that can contribute to epigenetic variation through the regulation of genes or transposons. The genome-wide context-specific differential DNA methylation patterns and their influence on gene expression have rarely been investigated in crop species. Profiling of DNA methylation in five maize (Zea mays) inbred lines found that while DNA methylation levels for >99% of the aNAlyzed genomic regions are similar there are still 5,000 to 20,000 context-specific differentially methylated regions (DMRs) between any two genotypes. The aNAlysis of identical-by-state genomic regions that have limited genetic variation provided evidence that DMRs can occur without local sequence variation but they are 50% less common than in regions with genetic variation. Characterization of the sequence-specificity of DMRs, location of DMRs relative to genes and transposons and patterns of DNA methylation in regions flanking DMRs reveals distinct subset of DMRs. RNAseq profiling of the same tissue revealed that only ~20% of genes with qualitative (on-off) differences in gene expression are associated with DMRs and there is little evidence for association of DMRs with genes that show quantitative differences in gene expression. We also identify a set of genes that may represent cryptic information that is silenced by DNA methylation in the reference B73 genome. Many of these genes exhibit NAtural variation in other genotypes suggesting the potential for selection to act upon existing epigenetic NAtural variation. This study provides insights into the origin and influences of DMRs in a crop species with a complex genome organization."	University of Minnesota	Springer Lab	NA
SRP091749	Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress	Transcriptome ANAlysis	NA	RANDOM	PAIRED - NOMINAL_SDEV: 44; NOMINAL_LENGTH: 145; 	"We sampled the first 0.5cm of the most basal part of leaf 4 3 days after appearance, always at the same time of the day to minimize diurNAl effects All traits were measured in a series of experiments in a single growth chamber. RILs were grown in a randomized design each time along with their respective parents. Experiments were conducted under controlled growth chamber conditions (24???_???C, 55% relative humidity, light intensity of 170mmol m-2 s-1 photosynthetic active radiation, in a 16h/8h day-night cycle). Total RNA was extracted using Trizol (Invitrogen) according to manufacturer??????_?????_?s instructions, followed by DNA digestion using the RNAse-free DNAse I kit (Qiagen).  Library preparation was done using the TruSeq RNA Sample Preparation Kit v2 (IllumiNA). In brief, polyA containing mRNA molecules are reverse transcribed, double-stranded cDNA is generated and adapters are ligated."	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	ERS794120	ERR965603	10/22/15	RNA-Seq	vegetative	leaf 4	NA	RIL19	RIL	WT	NA	RIL mapping	NA	"The RIL population used in this study is derived from a cross between parental lines B73 and H99, followed by 12 generations of self-polliNAtion. In total 142 RILs were generated and 223 markers were used for mapping these RILs (Marino et al. (2009) Mol Genet Genomics, 281:163-179). The transcriptome of a randomly chosen subset of 103 RILs was aNAlyzed in this study using RNA-seq."	"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY, GHENT UNI"	European Nucleotide Archive	NA
